id,sex,origin,date,notes
1,f,Sb1,07/11/2021,NA
2,f,Sb1,07/11/2021,NA
3,f,Sb1,07/11/2021,NA
4,f,Sb1,07/11/2021,NA
5,f,Sb1,07/11/2021,NA
6,f,Sb1,07/11/2021,NA
7,f,Sb1,07/11/2021,NA
8,f,Sb1,07/11/2021,NA
9,f,Sb1,07/11/2021,NA
10,f,Sb1,07/11/2021,NA
11,f,Sb1,07/11/2021,NA
12,f,Sb1,07/11/2021,NA
13,m,Sb1,07/11/2021,NA
14,m,Sb1,07/11/2021,NA
15,m,Sb1,07/11/2021,NA
16,m,Sb1,07/11/2021,NA
17,m,Sb1,07/11/2021,NA
18,m,Sb1,07/11/2021,NA
19,f,Sb1,07/11/2021,NA
20,f,Sb1,07/11/2021,NA
21,f,Sb1,07/11/2021,NA
22,f,Sb1,07/11/2021,NA
23,f,Sb1,07/11/2021,NA
24,f,Sb1,07/11/2021,NA
25,f,Sb1,07/11/2021,NA
26,f,Sb1,07/11/2021,NA
27,f,Sb1,07/11/2021,NA
28,f,Sb1,07/11/2021,NA
29,f,Sb1,07/11/2021,NA
30,f,Sb1,07/11/2021,NA
31,m,Sb1,07/11/2021,NA
32,m,Sb1,07/11/2021,NA
33,m,Sb2,07/11/2021,NA
34,m,Sb2,07/11/2021,NA
35,m,Sb2,07/11/2021,NA
36,m,Sb5,07/11/2021,NA
37,m,Sb4,07/11/2021,NA
38,m,Sb5,07/11/2021,NA
39,m,Sb5,07/11/2021,NA
40,m,Mb1,07/11/2021,NA
41,m,Mb1,07/11/2021,NA
42,m,Mb1,07/11/2021,NA
43,m,Mb1,07/11/2021,NA
44,m,Mb1,07/11/2021,NA
45,m,Mb1,07/11/2021,NA
46,m,Sb5,07/11/2021,NA
47,m,Sb5,07/11/2021,NA
48,m,Sb5,07/11/2021,NA
49,f,Sb1,09/11/2021,NA
50,f,Sb1,09/11/2021,NA
51,f,Sb1,09/11/2021,NA
52,f,Sb1,09/11/2021,NA
53,f,Sb1,09/11/2021,NA
54,f,Sb1,09/11/2021,NA
55,f,Sb1,09/11/2021,NA
56,f,Sb1,09/11/2021,NA
57,f,Sb1,09/11/2021,NA
58,f,Sb1,09/11/2021,NA
59,f,Sb1,09/11/2021,NA
60,f,Sb1,09/11/2021,NA
61,f,Sb1,09/11/2021,NA
62,f,Sb1,09/11/2021,NA
63,f,Sb1,09/11/2021,NA
64,f,Sb1,09/11/2021,NA
65,f,Sb1,09/11/2021,NA
66,f,Sb1,09/11/2021,NA
67,f,Sb1,09/11/2021,NA
68,f,Sb1,09/11/2021,NA
69,f,Sb1,09/11/2021,NA
70,f,Sb1,09/11/2021,NA
71,f,Sb1,09/11/2021,NA
72,f,Sb1,09/11/2021,NA
73,m,Mb1,09/11/2021,NA
74,m,Mb1,09/11/2021,NA
75,m,Mb1,09/11/2021,NA
76,m,Mb1,09/11/2021,NA
77,m,Mb1,09/11/2021,NA
78,m,Mb1,09/11/2021,NA
79,m,Mb1,09/11/2021,NA
80,m,Mb1,09/11/2021,NA
81,m,Mb1,09/11/2021,NA
82,m,Mb1,09/11/2021,NA
83,m,Mb1,09/11/2021,NA
84,m,Mb1,09/11/2021,NA
85,m,Mb1,09/11/2021,NA
86,m,Mb1,09/11/2021,NA
87,m,Mb1,09/11/2021,NA
88,m,Mb1,09/11/2021,NA
89,m,Mb1,09/11/2021,NA
90,m,Mb1,09/11/2021,NA
91,m,Mb1,09/11/2021,NA
92,m,Mb1,09/11/2021,NA
93,m,Mb1,09/11/2021,NA
94,m,Mb1,09/11/2021,NA
95,m,Mb1,09/11/2021,NA
96,m,Mb1,09/11/2021,NA
97,m,Mb2,17/11/2021,replaced 81
98,m,Mb2,23/11/2021,replaced 82
99,m,Mb2,23/11/2021,replaced 86
100,m,Mb2,23/11/2021,replaced 80
101,m,Mb2,25/11/2021,replaced 95
