id,colour,box,id_box
1,RR,1,RR_1
21,RB,1,RB_1
26,RW,1,RW_1
3,RX,1,RX_1
6,BR,1,BR_1
11,BB,1,BB_1
30,BG,1,BG_1
4,BW,1,BW_1
12,BX,1,BX_1
29,GR,1,GR_1
10,GB,1,GB_1
2,GG,1,GG_1
5,GW,1,GW_1
7,GX,1,GX_1
8,WR,1,WR_1
9,WB,1,WB_1
19,WG,1,WG_1
20,WW,1,WW_1
22,WX,1,WX_1
23,XR,1,XR_1
25,XB,1,XB_1
27,XG,1,XG_1
28,XW,1,XW_1
59,RR,2,RR_2
68,RB,2,RB_2
67,RG,2,RG_2
64,RW,2,RW_2
69,RX,2,RX_2
55,BR,2,BR_2
52,BB,2,BB_2
65,BG,2,BG_2
62,BW,2,BW_2
50,BX,2,BX_2
58,GR,2,GR_2
49,GB,2,GB_2
70,GG,2,GG_2
72,GW,2,GW_2
60,GX,2,GX_2
56,WR,2,WR_2
66,WB,2,WB_2
57,WG,2,WG_2
71,WW,2,WW_2
51,WX,2,WX_2
54,XR,2,XR_2
53,XB,2,XB_2
63,XG,2,XG_2
61,XW,2,XW_2
46,RR,3,RR_3
47,RB,3,RB_3
35,RW,3,RW_3
38,RX,3,RX_3
48,BR,3,BR_3
37,BB,3,BB_3
15,BG,3,BG_3
44,BW,3,BW_3
32,BX,3,BX_3
13,GR,3,GR_3
41,GB,3,GB_3
14,GG,3,GG_3
16,GW,3,GW_3
17,GX,3,GX_3
18,WR,3,WR_3
34,WW,3,WW_3
36,WX,3,WX_3
39,XR,3,XR_3
42,XB,3,XB_3
43,XG,3,XG_3
45,XW,3,XW_3
96,RR,4,RR_4
93,RB,4,RB_4
76,RG,4,RG_4
90,RW,4,RW_4
91,RX,4,RX_4
75,BR,4,BR_4
89,BB,4,BB_4
77,BG,4,BG_4
99,BW,4,BW_4
78,BX,4,BX_4
101,GR,4,GR_4
74,GB,4,GB_4
97,GG,4,GG_4
79,GW,4,GW_4
94,GX,4,GX_4
85,WR,4,WR_4
98,WB,4,WB_4
100,WW,4,WW_4
84,WX,4,WX_4
88,XR,4,XR_4
87,XB,4,XB_4
92,XG,4,XG_4
73,XW,4,XW_4
